SYMBOL,Security Name
MANGLMCEM,MANGALAM CEMENT LTD.
NCLIND,NCL INDUSTRIES LTD.-$
SAURASHCEM,SAURASHTRA CEMENT LTD.
SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$
BORORENEW,Borosil Renewables Ltd
LERTHAI,Lerthai Finance Ltd
TRIVENIGQ,TRIVENI GLASS LTD.-$
NILACHAL,NILACHAL REFRACTORIES LTD.
ANDHRAPAP,Andhra Paper Ltd
BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.
CITADEL,CITADEL REALTY AND DEVELOPERS LTD.
ROLLT,ROLLATAINERS LTD.
SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.
NATHIND,Nath Industries Ltd
VAPIENTER,Vapi Enterprise Ltd
DCM,DCM LTD.
ZGAEKWAR,GAEKWAR MILLS LTD.
FORBESCO,FORBES & COMPANY LTD.-$
HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.
UNITEDINT,UNITED INTERACTIVE LTD.
JAMSHRI,Jamshri Realty Ltd-$
KATRSPG,KATARE SPINNING MILLS LTD.
KESORAMIND,KESORAM INDUSTRIES LTD.
LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$
VTL,VARDHMAN TEXTILES LTD.
PENINLAND,PENINSULA LAND LTD.
PASUSPG,PASUPATI SPG.& WVG.MILLS LTD.
PHOENIXLTD,The Phoenix Mills Ltd
MARATHON,MARATHON NEXTGEN REALTY LTD.
RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.
RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$
RUBYMILLS,RUBY MILLS LTD.
SIMPLXREA,SIMPLEX REALTY LTD.
SWANENERGY,SWAN ENERGY LTD.
VICTMILL,VICTORIA MILLS LTD.
ZSVTRADI,S.V.TRADING & AGENCIES LTD.
ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.
KSHITIJ,Kshitij Investments Ltd
SALSAIN,SHREE SALASAR INVESTMENT LTD.
INDSOYA,INDSOYA LTD.
ZODIACVEN,Zodiac Ventures Limited
VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.
SW1,SW Investments Ltd
TILAK,Tilak Ventures Ltd
UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.
WAGEND,Wagend Infra Venture Limited
ELCIDIN,ELCID INVESTMENTS LTD.
MEDIAONE,MEDIAONE GLOBAL ENTERTAINMENT LTD.
HEALINV,HEALTHY INVESTMENTS LTD.
SHRENTI,SHREENATH INVESTMENTS CO.LTD.
BANSWRAS,BANSWARA SYNTEX LTD.-$
MODWOOL,MODELLA WOOLLENS LTD.
MODIPON,MODIPON LTD.
SHRIDINE,SHRI DINESH MILLS LTD.-$
SRF,SRF LTD.
SIYSIL,SIYARAM SILK MILLS LTD.-$
SWADPOL,SWADESHI POLYTEX LTD.
SHRAJSYNQ,SHREE RAJASTHAN SYNTEX LTD.-$
SHRMFGC,SHREE MANUFACTURING CO.LTD.
ZSATYASL,SATYAM SILK MILLS LTD.
BBL,BHARAT BIJLEE LTD.-$
ELPROINTL,ELPRO INTERNATIONAL LTD.
GEE,GEE LTD.
HIRECT,HIND RECTIFIERS LTD.
NIPPOBATRY,INDO-NATIONAL LTD.
ZENSARTECH,ZENSAR TECHNOLOGIES LTD.
JYOTI,JYOTI LTD.-$
JSLINDL,JSL INDUSTRIES LTD.
KAYCEEI,KAYCEE INDUSTRIES LTD.
INDOKEM,INDOKEM LTD.
PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$
NELCO,NELCO LTD.
PERMAGN,PERMANENT MAGNETS LTD.-$
HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.
STDBAT,STANDARD BATTERIES LTD.
UNIVCABLES,UNIVERSAL CABLES LTD.
WSI,W.S.INDUSTRIES (INDIA) LTD.-$
DLTNCBL,DELTON CABLES LTD.
LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.
MODULEX,Modulex Construction Technologies Ltd
DELTAMAGNT,Delta Manufacturing Ltd
LONGSPUR,Longspur International Ventures Ltd
RELTD,Ravindra Energy Ltd
RRP,RRP Semiconductor Ltd
EMPOWER,EMPOWER INDIA LTD.
ZMULTIPU,MULTIPURPOSE TRADING & AGENCIES LTD.
RIDHISYN,RIDHI SYNTHETICS LTD.
GRANDMA,GRANDMA TRADING & AGENCIES LTD.
SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.
NYSSACORP,Nyssa Corporation Limited
FLOMIC,Flomic Global Logistics Ltd
KRISHNA,Krishna Ventures Limited
GANHOLD,GANESH HOLDINGS LTD.
UNIABEXAL,UNI ABEX ALLOY PRODUCTS LTD.
SARDAEN,SARDA ENERGY & MINERALS LTD.-$
BGWTATO,BHAGWATI AUTOCAST LTD.
BOMBWIR,BOMBAY WIRE ROPES LTD.
AZADIND,Azad India Mobility Ltd
INDIANHUME,INDIAN HUME PIPE CO.LTD.
INVPRECQ,INVESTMENT & PRECISION CASTINGS LTD.
INFORTEC,INFORMED TECHNOLOGIES INDIA LTD.
KAIRA,KAIRA CAN CO.LTD.
ORIENTCER,Orient Ceratech Ltd-$
NATIONSTD,NATIONAL STANDARD (INDIA) LTD.
RATHIST,RATHI STEEL & POWER LTD.-$
DUNCANENG,Duncan Engineering Ltd-$
